code,abund.correlation,species.trend,nfjonly.abund.correlation,nfjonly.species.trend,error,abserror,common,sci.name
SPEYCOR,0.5922,0.00362494913818871,0.8809,-0.00318080074857868,-0.00680574988676739,0.00680574988676739,Coronis Fritillary,Speyeria coronis
POLISON,0.7099,-0.0560293701032641,0.7895,-0.0492994365680428,0.006729933535221298,0.006729933535221298,Sonora Skipper,Polites sonora
HELIERI,0.9934,-0.0079431255538353809,0.9967,-0.0144608744589962,-0.00651774890516082,0.00651774890516082,Northern White-Skipper,Heliopetes ericetorum
THOBAT,0.5076,-0.0233978103741662,0.6297,-0.0298222350110315,-0.006424424636865302,0.006424424636865302,Southern Cloudywing,Thorybes bathyllus
SPEYCAL,0.4518,-0.0154791285978254,0.4361,-0.0218572183375341,-0.006378089739708699,0.006378089739708699,Callippe Fritillary,Speyeria callippe | Speyeria callippe nevadensis | Speyeria callippe juba | Speyeria callippe ssp.
POMVER,0.6222,0.0125577102669826,0.7175,0.0189356938188904,0.006377983551907799,0.006377983551907799,Little Glassywing,Pompeius verna
ANTHLAN,0.9312,0.0110254797444355,0.9684,0.0046938748259086,-0.006331604918526901,0.006331604918526901,Gray Marble,Anthocharis lanceolata
POLYCOM,0.573,0.00483981050163409,0.6821,-0.0012593241247701,-0.00609913462640419,0.00609913462640419,Eastern Comma,Polygonia comma
PHYMYL,0.4869,-0.0123270710513869,0.5545,-0.00623559629328519,0.00609147475810171,0.00609147475810171,Mylitta Crescent,Phyciodes mylitta
CEROET,-0.0452,-0.0135044016824958,-0.0396,-0.00757948796851666,0.00592491371397914,0.00592491371397914,Small Wood-Nymph,Cercyonis oetus
SPEYEGL,0.4055,0.00140366484610451,0.6429,0.00731104779832794,0.00590738295222343,0.00590738295222343,Great Basin Fritillary,Speyeria egleis
EUPYVES,0.5295,0.00347253018268836,0.5911,0.00936247273965016,0.005889942556961801,0.005889942556961801,Dun Skipper,Euphyes vestra | Euphyes vestris
HEMCER,0.4584,0.0478297077756777,0.4123,0.0419772403950435,-0.005852467380634205,0.005852467380634205,Ceranus Blue,Hemiargus ceraunus
PHYSEL,0.8032,-0.003407060502211,0.8438,0.00240684430263871,0.00581390480484971,0.00581390480484971,Northern Crescent,Phyciodes cocyta | Phyciodes cocyta selenis | Phyciodes selenis
ERYFUN,0.4481,-7.4408688759737e-4,0.5988,0.00505649396030542,0.00580058084790279,0.00580058084790279,Funereal Duskywing,Erynnis funeralis
EUCHYA,0.5933,0.0308506406127927,0.5076,0.0250765706965652,-0.0057740699162275,0.0057740699162275,California Marble,Euchloe lotta | Euchloe hyantis | Euchloe hyantis hyantis | Euchloe hyantis lotta | Euchloe hyantis foothill
CALLERY,-0.016,0.0130142790099103,0.6999,0.0187381749563451,0.0057238959464348,0.0057238959464348,Western Pine Elfin,Callophrys eryphon | Incisalia eryphon
HESCOM,0.0901,0.01028035929847,0.0744,0.00470652580587154,-0.00557383349259846,0.00557383349259846,Western Branded Skipper,Hesperia colorado | Hesperia colorado idaho | Hesperia comma | Hesperia comma colorado | Hesperia comma assiniboia | Hesperia colorado harpalus | Hesperia colorado ssp. | Hesperia colorado tildeni
SATBEH,0.0756,-0.00540860034145851,0.1858,-0.0109539020865294,-0.005545301745070889,0.005545301745070889,Behr's Hairstreak,Satyrium behrii
HEMISO,0.7375,-0.0267022473704097,0.7445,-0.0321539531848269,-0.0054517058144172015,0.0054517058144172015,Reakirt's Blue,Echinargus isola | Hemiargus isola
PAPIND,0.3895,-0.0130178180526893,0.4506,-0.00762664231286831,0.00539117573982099,0.00539117573982099,Indra Swallowtail,Papilio indra
COLINT,0.8991,0.00572393129479335,0.9715,3.9429303284621e-4,-0.0053296382619471405,0.0053296382619471405,Pink-edged Sulphur,Colias interior
PIERAP,0.3301,-0.022704953110949,0.4726,-0.028005936799885,-0.005300983688936001,0.005300983688936001,Cabbage White,Pieris rapae
CHLOLAC,0.7551,0.0395123607061141,0.7682,0.0344299014133067,-0.005082459292807401,0.005082459292807401,Bordered Patch,Chlosyne lacinia
NYMVAU,0.6228,-0.0287113875505376,0.6459,-0.0237646310675338,0.0049467564830038,0.0049467564830038,Compton Tortoiseshell,Nymphalis l-album | Nymphalis vau-album | Nymphalis vaualbum
ERYMAR,0.8903,-0.0566588281917975,0.8965,-0.0615407187384183,-0.004881890546620797,0.004881890546620797,NA,Erynnis martialis
EURNIC,0.5467,0.0384408298336596,0.5816,0.0432753737734383,0.004834543939778696,0.004834543939778696,Sleepy Orange,Abaeis nicippe | Eurema nicippe
LYCIDA,0.0683,0.043924789695416,0.2132,0.0392064030103883,-0.004718386685027699,0.004718386685027699,Northern Blue,Plebejus idas | Lycaeides idas | Lycaeides idas anna
LIMARC,0.2598,-0.00464692789572576,0.2499,-0.0093129897141053,-0.0046660618183795395,0.0046660618183795395,Viceroy,Limenitis archippus
OENNEV,0.6587,0.00909065359412183,0.7755,0.0137473954246988,0.004656741830576969,0.004656741830576969,NA,Oeneis nevadensis
PAPPOL,0.3293,-0.003200534368905,0.3778,0.0013877409037817,0.0045882752726867,0.0045882752726867,Black Swallowtail,Papilio polyxenes | Papilio polyxenes coloro
JUNCOE,0.6232,-0.015383157786899,0.6766,-0.0199607694281196,-0.004577611641220598,0.004577611641220598,Common Buckeye,Junonoia coenia | Junonia coenia
PAPMUL,0.483,-0.012805374914788,0.6562,-0.00831085612174251,0.00449451879304549,0.00449451879304549,Two-tailed Swallowtail,Papilio multicaudatus | Papilio multicaudata
HESPAH,0.8964,-0.0318957044806589,0.8924,-0.0276457779876943,0.004249926492964597,0.004249926492964597,NA,Hesperia pahaska
ATLHAL,0.481,0.00129250247063216,0.5381,-0.00279238318280251,-0.00408488565343467,0.00408488565343467,Great Purple Hairstreak,Atlides halesus
EVEAMY,-0.0095,-0.025914848758535,-0.0116,-0.0299853542753782,-0.004070505516843202,0.004070505516843202,Western Tailed-Blue,Cupido amyntula | Everes amyntula
BREISO,0.9973,0.00787197033126182,0.9811,0.0119140047859281,0.0040420344546662785,0.0040420344546662785,Western Pygmy-Blue,Brephidium exilis | Brephidium isophthalma
URBPR3,0.4396,0.0778548174888213,0.4055,0.0739608115245922,-0.0038940059642290914,0.0038940059642290914,Long-tailed Skipper,Urbanus proteus
LYCAGOR,0.9203,9.3742750749573e-4,0.9792,0.00464028660964976,0.0037028591021540298,0.0037028591021540298,Gorgon Copper,Lycaena gorgon
SATCA1,0.5286,-0.0250870828653298,0.6345,-0.0214667006362863,0.0036203822290435013,0.0036203822290435013,Banded Hairstreak,Satyrium calanus
LYCAEPI,-0.0144,-0.0202071613516487,0.22,-0.0237920906081666,-0.003584929256517898,0.003584929256517898,Bog Copper,Lyceana epixanthe | Lycaena epixanthe
SATFUL,0.9739,0.00584748219074509,0.972,0.00922038606384503,0.0033729038730999404,0.0033729038730999404,Sooty Hairstreak,Satyrium fuliginosa | Satyrium fulginosa | Satyrium fuliginosum fuliginosum | Satyrium fuliginosum semiluna
POLIORI,0.4536,-0.0281770181677313,0.5225,-0.0248100127001064,0.0033670054676249,0.0033670054676249,Crossline Skipper,Polites origenes
COLEU2,0.3454,-0.0240396340762359,0.3328,-0.0273173033457828,-0.003277669269546899,0.003277669269546899,Orange Sulphur,Colias eurytheme
LERACC,0.6967,0.0202698183548725,0.795,0.0172359696900819,-0.0030338486647905998,0.0030338486647905998,Clouded Skipper,Lerema accius
MEGICYM,0.4098,-0.00923621376462058,0.3445,-0.0122501939898302,-0.0030139802252096195,0.0030139802252096195,Little Wood-Satyr,Megisto cymela (includes viola) | Megisto cymela
PHYORS,0.9857,-0.0463895279246073,0.9835,-0.0493555515797368,-0.0029660236551294974,0.0029660236551294974,California Crescent,Phyciodes orseis | Phyciodes orseis herlani
PONSIS,0.7879,-0.011498944936623,0.8501,-0.014456172693084,-0.0029572277564609995,0.0029572277564609995,Spring White,Pontia sisymbrii
AMBVIA,0.3783,-0.00188463131366723,0.5521,-0.004784185828811,-0.0028995545151437696,0.0028995545151437696,Common Roadside Skipper,Atrytonopsis vialis | Amblyscirtes vialis
STRMEL,0.2838,0.00205459316715704,0.3341,-7.9719930582497e-4,-0.00285179247298201,0.00285179247298201,Gray Hairstreak,Strymon melinus
CELLAD,0.3957,0.00812894726001225,0.1474,0.0109581947781752,0.00282924751816295,0.00282924751816295,Spring Azure,Celastrina ladon/neglecta | Celastrina echo | Celastrina serotina | Celastrina ladon serotina | Celastrina ladon | Celastrina ladon ladon | Celastrina ladon violacea | Celastrina ladon ssp. | Celastrina ladon idella | Celastrina ladon humulus | Celastrina ladon argentata | Celastrina ladon neglecta | Celastrina ladon echo
PLESHA,0.9714,-0.0100324157415469,0.9616,-0.007263178349857,0.0027692373916899,0.0027692373916899,Shasta Blue,Plebejus shasta
PONBEC,0.2068,-0.00952709791585905,0.5763,-0.0122921472647599,-0.0027650493489008495,0.0027650493489008495,Becker's White,Pontia beckerii
AUTCEL,0.134,0.0422468344226656,0.6472,0.0449771732852753,0.0027303388626096978,0.0027303388626096978,NA,Autochton cellus
HESNEV,0.2724,-0.0357209791476129,0.0398,-0.033013731724383,0.0027072474232298985,0.0027072474232298985,Nevada Skipper,Hesperia nevada
SATLIP,0.6584,-0.0284303693119538,0.6686,-0.0311266907763712,-0.0026963214644173984,0.0026963214644173984,Striped Hairstreak,Satyrium liparops
VANVIR,0.8678,-0.0223459916540708,0.9234,-0.019697537501216,0.0026484541528547997,0.0026484541528547997,American Lady,Vanessa virginiensis
ENOPOR,0.8149,-0.0296518457182727,0.7774,-0.032239757086744,-0.0025879113684713004,0.0025879113684713004,Southern Pearly-eye,Enodia portlandia
POAZAB,0.2225,0.0563248654357955,0.4676,0.0537853194768135,-0.002539545958981995,0.002539545958981995,Zabulon Skipper,Poanes zabulon
PYRCOM,0.0528,0.00320504921657358,0.3066,0.00571198843983172,0.00250693922325814,0.00250693922325814,Common Checkered-Skipper,Pyrgus communis
ANCNUM,0.3792,-0.00402394563836502,0.464,-0.00641287655894572,-0.0023889309205807003,0.0023889309205807003,Least Skipper,Ancycloxypha numitor | Ancyloxypha numitor
ENOCRE,0.7275,-1.1250002120339e-4,0.7413,-0.00242199030392764,-0.0023094902827242502,0.0023094902827242502,NA,Enodia creola
DYMDYM,0.9289,0.0147363177189832,0.9358,0.0124850980466884,-0.0022512196722948,0.0022512196722948,NA,Dymasia dymas | Dymasia dymas chara
PHYBAT,0.5934,-0.0816692511787262,0.5899,-0.0838875877885305,-0.0022183366098043056,0.0022183366098043056,NA,Phyciodes batesii
PLEACM,0.9572,-0.0454125253231321,0.9595,-0.0476080022741385,-0.0021954769510064004,0.0021954769510064004,Acmon Blue,Plebejus acmon (includes texana and lutzi) | Plebejus acmon
PLELUP,0.5986,0.00608729097335521,0.7353,0.00389329285686975,-0.00219399811648546,0.00219399811648546,Lupine Blue,Plebejus lupini texanus | Plebejus lupini
PARNCLO,0.0507,-0.016801184915345,0.2756,-0.0146858889221933,0.002115295993151701,0.002115295993151701,Clodius Parnassian,Parnassius clodius
PHYPAL,0.1587,-0.00994021793431357,0.1567,-0.00795020447589082,0.00199001345842275,0.00199001345842275,NA,Phyciodes pallida
THOPYL,0.5533,-0.00618377416746584,0.5591,-0.00420066700870392,0.00198310715876192,0.00198310715876192,Northern Cloudywing,Thorybes pylades
PHYTEX,0.5988,-0.0302841593294777,0.6061,-0.0322288636283649,-0.0019447042988871982,0.0019447042988871982,Texan Crescent,Phyciodes texana | Phyciodes texana texana | Phyciodes texana seminole
PYRRUR,0.2074,-0.0325088043716309,0.1693,-0.03064157724867,0.001867227122960901,0.001867227122960901,Two-banded Checkered-Skipper,Pyrgus ruralis
CELNEG,0.4006,-0.0257634557816204,0.4004,-0.0240112188966846,0.0017522368849358025,0.0017522368849358025,NA,Celastrina neglectamajor
LYCANIV,0.9236,-0.00711501267530556,0.9268,-0.00864523005905862,-0.0015302173837530592,0.0015302173837530592,Lilac-bordered Copper,Lycaena nivalis
COPAUR,0.9449,0.0047801712363118,0.9245,0.00602563773554037,0.0012454664992285706,0.0012454664992285706,Orange Skipperling,Copaeodes aurantiaca | Copaeodes aurantiacus
COLOCC,0.9705,0.00641282409063706,0.9693,0.00517063851913769,-0.0012421855714993693,0.0012421855714993693,NA,Colias occidentalis | Colias occidentalis chrysomelas | Colias occidentalis pseudochristina
ASTCEL,0.1866,0.00831407531069922,-0.0165,0.0071595629298224,-0.0011545123808768204,0.0011545123808768204,Hackberry Emperor,Asterocampa celtis
SATTIT,0.2686,-0.0262901762659711,0.3689,-0.0253257350310076,9.644412349635e-4,9.644412349635e-4,Coral Hairstreak,Satyrium titus
HESLIN,0.9861,-0.0230257520226227,0.9746,-0.0239494517710135,-9.236997483908008e-4,9.236997483908008e-4,Lindsey's Skipper,Hesperia lindseyi
CHLOHOF,0.9921,0.00889790203530517,0.9953,0.00978434456897994,8.864425336747705e-4,8.864425336747705e-4,Hoffmann's Checkerspot,Chlosyne hoffmanni
ERYPER,-0.0073,0.0176892807642314,-0.0141,0.0185606333018164,8.713525375850031e-4,8.713525375850031e-4,Persius Duskywing,Erynnis persius
PANOCO,0.0402,0.0713287153656934,0.0436,0.0721017001151787,7.729847494853115e-4,7.729847494853115e-4,Ocola Skipper,Panoquina ocola
PHOEAGA,0.7598,0.0194889456024896,0.7571,0.0187823528711752,-7.065927313144003e-4,7.065927313144003e-4,Large Orange Sulphur,Phoebis agarithe
HESVIR,0.8326,-0.0351294987291699,0.8186,-0.035822333939399,-6.928352102291008e-4,6.928352102291008e-4,NA,Hesperia viridis
CALLSPI,-0.0385,-0.00987257607194262,-0.0222,-0.0103713267746261,-4.9875070268348e-4,4.9875070268348e-4,NA,Callophrys spinetorum
POLYFAU,0.6202,0.0214650962607086,0.6045,0.0209817625432846,-4.8333371742400114e-4,4.8333371742400114e-4,Green Comma,Polygonia faunus | Polygonia faunus faunus | Polygonia faunus hylas | Polygonia faunus silvius
CALLAUG,0.172,0.0335728184707551,0.1613,0.0331386338240821,-4.3418464667299705e-4,4.3418464667299705e-4,Brown Elfin,Callophrys augustinus | Incisalia augustinus iroides
GLAPIA,0.6357,-0.0265731674494922,0.4797,-0.0262708577623985,3.023096870936985e-4,3.023096870936985e-4,Arrowhead Blue,Glaucopsyche piasus
NEOPMEN,0.3852,-0.0383628524991076,0.044,-0.038140621054943,2.2223144416459728e-4,2.2223144416459728e-4,Pine White,Neophasia menapia
POLYSAT,0.1487,-0.00724228860610346,0.1345,-0.00742094628419955,-1.786576780960893e-4,1.786576780960893e-4,Satyr Comma,Polygonia satyrus
EUPTCLA,0.4474,0.00975055199063805,0.4809,0.00976061538238216,1.0063391744108766e-5,1.0063391744108766e-5,Variegated Fritillary,Euptoieta claudia
